Tipo Imóvel,Bairro,Dormitorios,Banheiros,Garagens,A. Terreno M²,A. Construída M²,Alarme,Ar Condicionado,Armários,Box Blindex,Cerca Elétrica,Churrasqueira,Cozinha,Escritório,Home Theater,Iluminação,Lavabo,Piscina,Porcelanato,Portão Eletronico,Sala de Estar,Sala de Jantar,Semi Mobiliado,Varanda,Precio
Rural Chácara com Casa,Zona Rural,0,0,0,20000.00 ,70.00 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,990000.00
Casa Sobrado,Jardim Panorama,1,2,2,125.00 ,61.73 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,270000.00
Casa Padrão,Jardim Coopagro,1,2,,125.00 ,59.67 ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,245000.00
Casa Padrão,Jardim Panorama,1,2,,82.68 ,60.00 ,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,200000.00
Apartamento Cobertura,Jardim La Salle,2,3,2,180.00 ,108.00 ,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,950000.00
Terreno Lote,Jardim Anápolis,0,0,0,553.40 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490000.00
Terreno Lote,Vila Pioneiro,0,0,0,488.80 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000.00
Casa Padrão,Jardim Panorama,2,3,3,125.00 ,52.43 ,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,258000.00
Casa Padrão,Vila Becker,1,3,2,180.00 ,103.61 ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,550000.00
Apartamento Padrão,Jardim Gisela,1,2,,65.68 ,55.90 ,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,235000.00
Apartamento Padrão,Parque Residencial Gisela,1,2,2,96.50 ,68.75 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,398000.00
Apartamento Padrão,Parque Residencial Gisela,1,2,2,96.50 ,68.75 ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,448000.00
Terreno Lote,Jardim Gisela,0,0,0,1124.20 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798000.00
Casa Sobrado,Jardim Pancera,1,3,3,78.72 ,96.66 ,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,320000.00
Apartamento Padrão,Centro,2,3,3,0,111.00 ,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,930000.00
Casa Sobrado,Jardim Pancera,2,3,2,426.90 ,168.74 ,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1100000.00
Apartamento Padrão,Centro,2,2,,197.11 ,134.13 ,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1200000.00
Casa Padrão,Jardim Gisela,3,3,2,360.00 ,122.50 ,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,920000.00
Apartamento Padrão,Jardim Gisela,1,2,2,137.57 ,84.00 ,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,490000.00
Apartamento Padrão,Centro,1,3,3,134.08 ,97.57 ,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,470000.00
Casa Padrão,São Francisco,1,2,3,153.90 ,82.00 ,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,430000.00
Terreno Lote,Vila Industrial,0,0,0,742.30 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000.00
Apartamento Padrão,Vila Industrial,1,3,2,118.80 ,88.71 ,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,410000.00
Casa Padrão,Jardim Porto Alegre,3,3,3,499.27 ,160.00 ,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1350000.00
Terreno Lote,Vila Pioneiro,0,0,0,360.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000.00
Apartamento Padrão,Parque Residencial Pancera,1,2,,75.81 ,61.16 ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,250000.00
Apartamento Padrão,Tocantins,2,2,,100.85 ,75.16 ,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,386000.00
Casa Sobrado,Tocantins,2,3,4,180.13 ,171.00 ,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1180000.00
Casa Sobrado,Tocantins,2,3,4,180.13 ,171.00 ,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1180000.00
Casa Sobrado,Jardim La Salle,2,4,4,360.00 ,266.42 ,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,8800.00
Casa Padrão,São Luiz do Oeste,1,3,,800.00 ,80.00 ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,350000.00
Casa Padrão,São Luiz do Oeste,1,2,,800.00 ,80.00 ,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,300000.00
Apartamento Padrão,Centro,2,3,5,466.25 ,326.06 ,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,3300000.00
Terreno Lote,Jardim Concórdia,0,0,0,566.80 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440000.00
Casa Padrão,Concórdia do Oeste,4,3,3,1000.00 ,141.00 ,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,790000.00
Terreno Lote,Jardim Concórdia,0,0,0,360.52 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215000.00
Terreno Lote,Centro,0,0,0,817.50 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940000.00
Rural Chácara com Casa,Jardim Pancera,0,0,0,1137.00 ,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,980000.00
Apartamento Padrão,Parque Residencial Gisela,1,2,2,113.27 ,73.11 ,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,430000.00
